"var_titulo";"var_valoracion";"var_reviews";"var_categoria";"var_latitud";"var_longitud";"var_direccion";"var_plus_code";"var_web";"var_telefono";"var_women_led";"var_horarios";"var_cierre_temp";"var_url_gg"
"Escape Room del Vino ""Desafío Subterráneo""";5;15;"Centro de ocio";41,6716784;-3,6885977;"Calle Cascajar, 4, BAJO, 09400 Aranda de Duero, Burgos";"M8C6+MH Aranda de Duero";"ribiertete.com";"693 61 77 07";"0";"martes, De 10:00 a 14:00, De 17:30 a 20:00; miércoles, De 10:00 a 14:00, De 17:30 a 20:00; jueves, De 10:00 a 14:00, De 17:30 a 20:00; viernes, De 10:00 a 14:00, De 17:30 a 20:00; sábado, De 10:30 a 14:00, De 17:00 a 20:00; domingo, De 12:00 a 14:00, De 17:30 a 20:00; lunes, Cerrado.";"Cerrado temporalmente";"https://www.google.es/maps/place/Escape+Room+del+Vino+%22Desaf%C3%ADo+Subterr%C3%A1neo%22/@40.6305364,-3.9964234,7z/data=!4m8!1m2!2m1!1s+Aranda+de+Duero+Centro+de+ocio!3m4!1s0xd4427265d4be341:0x518838bef08312d5!8m2!3d41.6716784!4d-3.6885977"
"Allendeduero industrial area";4;138;"Centro de negocios";41,6652973;-3,7146185;"Av. Luis Mateos, 36, 09400 Aranda de Duero, Burgos";"M78P+45 Aranda de Duero";"0";"0";"0";"0";"-";"https://www.google.es/maps/place/Allendeduero+industrial+area/@41.6652973,-3.732128,14z/data=!4m8!1m2!2m1!1s+Aranda+de+Duero+Centro+de+negocios!3m4!1s0xd4427a66dfcbb71:0xdabb7e28377f8cac!8m2!3d41.6652973!4d-3.7146185"
"Inim Corporación de la Ribera";0;0;"Centro de negocios";41,6713371;-3,6862933;"09400 Aranda de Duero, Burgos";"M8C7+GF Aranda de Duero";"0";"0";"0";"0";"-";"https://www.google.es/maps/place/Inim+Corporaci%C3%B3n+de+la+Ribera/@41.6700663,-3.693173,14z/data=!4m8!1m2!2m1!1s+Aranda+de+Duero+Centro+de+negocios!3m4!1s0xd44265cd601132f:0xa5efcdc654131ac4!8m2!3d41.6713371!4d-3.6862933"
"Maquinaria Víctor Husqvarna Aranda del Duero";4,7;15;"Tienda de cortadoras de césped";41,6706542;-3,7097232;"Calle Constantin, 20, 09400 Aranda de Duero, Burgos";"M7CR+74 Aranda de Duero";"todohusqvarna.com";"947 50 27 26";"0";"martes, De 9:00 a 20:00; miércoles, De 9:00 a 20:00; jueves, De 9:00 a 20:00; viernes, De 9:00 a 20:00; sábado, De 9:00 a 14:00; domingo, Cerrado; lunes, De 9:00 a 20:00.";"-";"https://www.google.es/maps/place/Maquinaria+V%C3%ADctor+Husqvarna+Aranda+del+Duero/@41.6706542,-3.7184779,15z/data=!4m8!1m2!2m1!1s+Aranda+de+Duero+Centro+de+jardiner%C3%ADa!3m4!1s0xd4427ae22b90519:0x658202c1eb82f894!8m2!3d41.6706542!4d-3.7097232"
"FLORES Y PLANTAS VALLERUELA";4,5;11;"Floristería";41,6743117;-3,6833473;"Camino Moratín, 12, 09400 Aranda de Duero, Burgos";"M8F8+PM Aranda de Duero";"0";"947 54 61 66";"0";"martes, De 9:00 a 14:00, De 17:00 a 20:00; miércoles, De 9:00 a 14:00, De 17:00 a 20:00; jueves, De 9:00 a 14:00, De 17:00 a 20:00; viernes, De 9:00 a 14:00, De 17:00 a 20:00; sábado, De 9:00 a 14:00; domingo, Cerrado; lunes, De 9:00 a 14:00, De 17:00 a 20:00.";"-";"https://www.google.es/maps/place/FLORES+Y+PLANTAS+VALLERUELA/@41.6732784,-3.6965353,15z/data=!4m8!1m2!2m1!1s+Aranda+de+Duero+Centro+de+jardiner%C3%ADa!3m4!1s0xd44264289c4e913:0xa46048b25f08ec6b!8m2!3d41.6743117!4d-3.6833473"
"Centro De Jardinería La Morera";4;4;"Centro de jardinería";41,6759026;-3,6957039;"09400 Aranda de Duero, Burgos";"M8G3+9P Aranda de Duero";"0";"687 34 60 78";"0";"martes, De 10:00 a 14:00, De 17:00 a 20:00; miércoles, De 10:00 a 14:00, De 17:00 a 20:00; jueves, De 10:00 a 14:00, De 17:00 a 20:00; viernes, De 10:00 a 14:00, De 17:00 a 20:00; sábado, De 10:00 a 14:00, De 17:00 a 20:00; domingo, Cerrado; lunes, De 10:00 a 14:00, De 17:00 a 20:00.";"-";"https://www.google.es/maps/place/Centro+De+Jardiner%C3%ADa+La+Morera/@41.6732784,-3.6965353,15z/data=!4m8!1m2!2m1!1s+Aranda+de+Duero+Centro+de+jardiner%C3%ADa!3m4!1s0xd44264ed09dc62d:0xde734fd83bd80015!8m2!3d41.6759026!4d-3.6957039"
"SYSTEM ARANDA Formación";5;2;"Centro de formación profesional";41,6721907;-3,6881756;"Calle Cascajar, 14, 09400 Aranda de Duero, Burgos";"M8C6+VP Aranda de Duero";"0";"947 54 61 11";"0";"martes, De 10:00 a 14:00, De 18:00 a 20:00; miércoles, De 10:00 a 14:00, De 18:00 a 20:00; jueves, De 10:00 a 14:00, De 18:00 a 20:00; viernes, De 10:00 a 14:00, De 18:00 a 20:00; sábado, Cerrado; domingo, Cerrado; lunes, De 10:00 a 14:00, De 18:00 a 20:00.";"Cerrado temporalmente";"https://www.google.es/maps/place/SYSTEM+ARANDA+Formaci%C3%B3n/@41.6721907,-3.692553,16z/data=!4m8!1m2!2m1!1s+Aranda+de+Duero+Centro+de+formaci%C3%B3n+profesional!3m4!1s0xd442644ae4840b3:0xc733a5120be67e9!8m2!3d41.6721907!4d-3.6881756"
"DWS";0;0;"Centro de formación";41,6711165;-3,6818589;"12,, Calle Hospicio, 10, 09400 Aranda de Duero, Burgos";"M8C9+C7 Aranda de Duero";"dwscreative.es";"947 51 29 74";"0";".";"Cerrado temporalmente";"https://www.google.es/maps/place/DWS/@41.66543,-3.6857506,15z/data=!4m8!1m2!2m1!1s+Aranda+de+Duero+Centro+de+formaci%C3%B3n!3m4!1s0xd442667edd31ee1:0xfc21a2dd6ba500e5!8m2!3d41.6711165!4d-3.6818589"
"Con-For Consultoría & Formación Alimentaria y Nutricional";0;0;"Centro de formación";41,670312;-3,6900677;"Av. Espolón, 2, 09400 Aranda de Duero, Burgos";"M8C5+4X Aranda de Duero";"0";"0";"0";".";"Cerrado temporalmente";"https://www.google.es/maps/place/Con-For+Consultor%C3%ADa+%26+Formaci%C3%B3n+Alimentaria+y+Nutricional/@41.670312,-3.6988224,15z/data=!4m8!1m2!2m1!1s+Aranda+de+Duero+Centro+de+formaci%C3%B3n!3m4!1s0xd44265d23e4484f:0x4829b75ec2cc2448!8m2!3d41.670312!4d-3.6900677"
"Centro de Estudios Sedano";0;0;"Centro de formación";41,6718878;-3,6772145;"Bajo, Calle Montelatorre, 5, 09400 Aranda de Duero, Burgos";"M8CF+Q4 Aranda de Duero";"academiasedano.com";"947 51 22 20";"0";".";"Cerrado temporalmente";"https://www.google.es/maps/place/Centro+de+Estudios+Sedano/@41.66543,-3.6857506,15z/data=!4m8!1m2!2m1!1s+Aranda+de+Duero+Centro+de+formaci%C3%B3n!3m4!1s0xd442708bfcc821f:0x2bc5a82c12edc1f1!8m2!3d41.6718878!4d-3.6772145"
